GPSName,Lat,Long,Province,Municipality,District
Cloetesville,-33.9,18.85,WC,Stellenbosch,Cape Winelands
Kwazakhele,-33.88,25.58,EC,Nelson Mandela Bay,Nelson Mandela Bay
Umlazi AA,-29.97,30.86,KZN,eThekwini,eThekwini
Claremont,-26.18,27.95,GP,City of Johannesburg,City of Johannesburg
Manyatseng,-29.16,27.46,FS,Mantsopa,Thabo Mofutsanyane
Sweetwaters,-29.6,30.29,KZN,The Msunduzi,Umgungundlovu
Helderberg,-34.11,18.84,WC,City of Cape Town,City of Cape Town
Makipsvlei,-24.92,29.04,LIM,Ephraim Mogale,Sekhukhune
Tambo,-32.13,26.81,EC,Enoch Mgijima,Chris Hani
Umgaga,-29.95,30.84,KZN,eThekwini,eThekwini
Walmer Dunes,-33.99,25.59,EC,Nelson Mandela Bay,Nelson Mandela Bay
Ivory Park,-25.994387,28.197012,GP,City of Johannesburg,City of Johannesburg
Lotus Park,-29.99,30.91,KZN,eThekwini,eThekwini
Mafefe,-24.16,30.1,LIM,Lepele-Nkumpi,Capricorn
Orient Hills,-30.0,30.91,KZN,eThekwini,eThekwini
Tafelsig,-34.05,18.63,WC,City of Cape Town,City of Cape Town
Antioch,-30.09,29.81,KZN,Umzimkhulu,Sisonke
Garagapola,-24.56,30.16,LIM,Greater Tubatse/Fetakgomo,Sekhukhune
Gasese,-27.11,23.05,NC,Joe Morolong,John Taolo Gaetsewe
Qumbu,-31.19,28.87,EC,Mhlontlo,O.R.Tambo
Rontree Estate,-33.96,18.38,WC,City of Cape Town,City of Cape Town
Sanctuary Gardens,-26.1,27.91,GP,City of Johannesburg,City of Johannesburg
Summerstrand,-34.0,25.65,EC,Nelson Mandela Bay,Nelson Mandela Bay
Woodhaven,-29.91,30.94,KZN,eThekwini,eThekwini
Greenturf,-33.99,18.53,WC,City of Cape Town,City of Cape Town
Kabega,-33.95,25.49,EC,Nelson Mandela Bay,Nelson Mandela Bay
Mfazazane,-30.55,30.55,KZN,Ray Nkonyeni,Ugu
Moreletta Park,-25.82,28.29,GP,City of Tshwane,City of Tshwane
Welgemoed,-33.87,18.6,WC,City of Cape Town,City of Cape Town
Westridge,-34.04,18.59,WC,City of Cape Town,City of Cape Town
Ikgomotseng,-28.73,26.1,FS,Mangaung,Mangaung
Maconqo,-29.57,30.55,KZN,Mkhambathini,Umgungundlovu
Matshana,-28.75,31.85,KZN,uMhlathuze,Uthungulu
Dinokana,-25.44,25.86,NW,Ramotshere Moiloa,Ngaka Modiri Molema
Driekoppies,-25.7,31.55,MP,Nkomazi,Ehlanzeni
Khayalitsha,-34.04,18.69,WC,City of Cape Town,City of Cape Town
Vlaklaagte,-25.33,28.87,MP,Thembisile,Nkangala
La Lucia,-29.748282,31.066504,KZN,eThekwini,eThekwini
Peacetown,-28.44,29.74,KZN,Alfred Duma,Uthukela
Woodhill,-25.814629999999998,28.315609000000002,GP,City of Tshwane,City of Tshwane
Ga-Nkoane,-24.416673,29.783334999999997,LIM,Greater Tubatse/Fetakgomo,Sekhukhune
Wattville,-26.221097999999998,28.30327,GP,Ekurhuleni,Ekurhuleni
Ga-Luka,-25.507355,27.190904999999997,NW,Rustenburg,Bojanala
Hankey,-33.824081,24.871931,EC,Kouga,Cacadu
Butterworth,-32.31762239,28.20553465,EC,Mnquma,Amathole
Fourways Gdns,-26.0058,28.0019,GP,City of Johannesburg,City of Johannesburg
Matsulu,-25.51232515,31.34582484,MP,Mbombela,Ehlanzeni
Seloshesa,-29.19967496,26.80923109,FS,Mangaung,Mangaung
Bophelong,-26.69245893,27.79967542,GP,Emfuleni,Sedibeng
Dipelaneng,-29.51060165,27.14995751,FS,Mantsopa,Thabo Mofutsanyane
Phomolong,-28.01601881,27.08179789,FS,Matjhabeng,Lejweleputswa
